intent,question,answer,cleaned_question
courses,Are language courses offered?,"Yes, we offer elective language courses.",language course offered
courses,Can I switch courses after admission?,"Yes, within the first semester.",switch course admission
courses,Do you offer AI or Data Science?,"Yes, specialized programs in AI and Data Science are available.",offer ai data science
courses,What’s the syllabus for B.Tech?,The syllabus is available on the academic portal.,syllabus b tech
courses,Are internships part of the course?,"Yes, internships are mandatory for most programs.",internship part course
courses,Do you have evening classes?,"No, classes are conducted during the day.",evening class
courses,Are practical labs available?,"Yes, all technical courses include lab sessions.",practical lab available
courses,Do you offer online courses?,Some certification programs are online.,offer online course
courses,What are elective subjects?,Electives allow students to choose topics of interest.,elective subject
courses,Is there a foreign exchange program?,"Yes, we have collaborations with international universities.",foreign exchange program
courses,Are interdisciplinary courses available?,"Yes, students can choose interdisciplinary electives.",interdisciplinary course available
courses,What’s the medium of instruction?,English is the primary medium of instruction.,medium instruction
courses,Can I take minor subjects?,"Yes, minor subjects are available for all programs.",take minor subject
courses,Are industry-linked courses available?,"Yes, we offer courses in collaboration with industry partners.",industry linked course available
courses,Do you offer research programs?,"Yes, research opportunities are available for postgraduate students.",offer research program
placements,Which companies visit for placements?,"Top recruiters include Infosys, TCS, Wipro, and Deloitte.",company visit placement
placements,What is the average package?,"The average package is ₹6 LPA, with the highest up to ₹25 LPA.",average package
placements,Do all students get placed?,Most eligible students receive placement offers.,student get placed
placements,When do placements start?,Placement drives begin in the final year.,placement start
placements,Are internships part of placements?,"Yes, many companies offer internships leading to placements.",internship part placement
placements,Which companies offer the highest packages?,Companies like Amazon and Microsoft offer top packages.,company offer highest package
placements,Do you have campus interviews?,"Yes, campus interviews are conducted regularly.",campus interview
placements,Are placement training sessions available?,"Yes, we provide training in aptitude and communication skills.",placement training session available
placements,What’s the placement percentage?,Around 90% of students get placed every year.,placement percentage
placements,Do startups visit for placements?,"Yes, several startups participate in placement drives.",startup visit placement
placements,Is there a placement cell?,"Yes, the college has a dedicated placement cell.",placement cell
placements,How do I register for placements?,You can register through the placement portal.,register placement
placements,Are international placements available?,"Yes, a few companies offer overseas opportunities.",international placement available
placements,Do you help with resume building?,"Yes, workshops are conducted for resume preparation.",help resume building
placements,What’s the highest salary offered?,The highest package offered was ₹25 LPA.,highest salary offered
placements,Are internships counted as placements?,"No, internships are separate but may lead to placements.",internship counted placement
placements,Do you have alumni placement support?,"Yes, alumni often help current students with referrals.",alumnus placement support
placements,Are placement drives department-specific?,"Yes, drives are organized by department.",placement drive department specific
placements,How do I contact the placement cell?,You can reach them via the placement office.,contact placement cell
placements,Do you provide mock interviews?,"Yes, mock interviews are conducted before placements.",provide mock interview
internships,What companies come for internships?,Startups and established firms offer internships.,company come internship
internships,Do you provide internship opportunities?,"Yes, internship opportunities are available for all students.",provide internship opportunity
internships,Are internships paid?,"Some internships are paid, others are unpaid.",internship paid
internships,Is stipend available?,"Yes, stipends are available for certain internships.",stipend available
internships,How long are internships?,Internships usually last 2–6 months.,long internship
internships,Are internships mandatory?,"Yes, internships are mandatory for most programs.",internship mandatory
internships,Do startups offer internships?,"Yes, startups regularly offer internships.",startup offer internship
internships,Do big companies offer internships?,"Yes, big companies also provide internships.",big company offer internship
internships,Can I get an internship abroad?,"Yes, international internships are available.",get internship abroad
internships,Do you help with internship placements?,"Yes, the placement cell assists with internships.",help internship placement
internships,Are internships part of the curriculum?,"Yes, internships are integrated into the curriculum.",internship part curriculum
internships,Do you provide summer internships?,"Yes, summer internships are available.",provide summer internship
internships,Do you provide winter internships?,"Yes, winter internships are available.",provide winter internship
internships,What’s the average stipend?,"The average stipend is ₹10,000 per month.",average stipend
internships,Do you have tie-ups with companies?,"Yes, we have tie-ups with multiple companies.",tie ups company
internships,Can I choose my internship domain?,"Yes, students can choose their preferred domain.",choose internship domain
internships,Do you provide certificate for internships?,"Yes, certificates are provided after completion.",provide certificate internship
internships,Are internships available for MBA students?,"Yes, MBA students also get internships.",internship available mba student
internships,Are internships available for engineering students?,"Yes, engineering students get internships.",internship available engineering student
internships,Do you provide research internships?,"Yes, research internships are available for interested students.",provide research internship
